Date,open,close,high,low,volume,money
2017/1/3,6273.82,6320.76,6320.95,6273.75,4857779100,57302999275
2017/1/4,6321.75,6394.67,6395,6314.13,6673942300,78531887327
2017/1/5,6391.58,6399.28,6412.87,6385.12,6144520300,72267790981
2017/1/6,6398.86,6371.62,6401.74,6364.89,6490247300,73723002444
2017/1/9,6365.39,6415.42,6415.47,6357.36,6397903100,74310358181
2017/1/10,6412.76,6393.93,6428.83,6388.92,6821068400,76722142933
2017/1/11,6381.7,6331.96,6402.9,6331.51,6284335900,68331890909
2017/1/12,6325.62,6272.85,6339.32,6269.2,5343363400,57259476375
2017/1/13,6272.79,6194.66,6282.72,6182.1,5361148400,58444907279
2017/1/16,6184.13,6031.24,6184.34,5872.4,7895834800,82148409479
2017/1/17,6006.08,6082.07,6082.2,5957.04,5054089800,54018905762
2017/1/18,6067.17,6068.59,6098.78,6049.97,4614218000,48404585975
2017/1/19,6054.73,6043.68,6074.46,6029.64,4441961600,45854100379
2017/1/20,6037.56,6122,6129.58,6034.97,4571735400,49013086160
2017/1/23,6130.44,6172.17,6189.17,6130.2,5038973600,52727412759
2017/1/24,6167.84,6165.26,6177.21,6154.07,5012780300,49571128604
2017/1/25,6156.78,6179.57,6187.43,6152.14,4297428800,43740185010
2017/1/26,6183.16,6223.71,6224.19,6183.16,4054247700,41944886987
2017/2/3,6227.46,6207.09,6231.6,6190.83,3554149100,37929189875
2017/2/6,6206.54,6259.25,6259.41,6195.5,4575565600,50034776941
2017/2/7,6254.2,6255.93,6269.46,6223.54,5092823200,53950802890
2017/2/8,6248.47,6291.6,6291.77,6219.02,5388511900,57742142041
2017/2/9,6288.88,6331.18,6331.33,6285.73,7272232900,74903715864
2017/2/10,6329.68,6337.11,6350.34,6320.25,8937713900,87202785397
2017/2/13,6341.73,6369.65,6370.21,6331.96,8376505400,84625077163
2017/2/14,6366.94,6374.89,6378.06,6346.59,7606862900,75879186213
2017/2/15,6367.64,6311.7,6379.79,6301.01,8407660700,84745249693
2017/2/16,6308.32,6359.34,6363.87,6306.51,7507458100,75785517261
2017/2/17,6356.09,6307.16,6365.7,6300.51,7907995200,80705736069
2017/2/20,6307.23,6385.06,6385.06,6307.23,7412663600,80325702731
2017/2/21,6390.51,6434.44,6434.53,6386.9,7889690100,86222033428
2017/2/22,6432.75,6474.23,6474.49,6431.41,8752564100,95597767122
2017/2/23,6470.62,6473.99,6482.25,6435.75,8936667800,99277240144
2017/2/24,6466.18,6476.17,6477.42,6445.07,7625812700,85426215440
2017/2/27,6476.38,6424.25,6480.19,6417.78,7224501000,81011815135
2017/2/28,6425,6450.97,6451.29,6414.78,6303112600,71170206500
2017/3/1,6446.44,6467.64,6488.82,6440.81,7247967100,83177653149
2017/3/2,6476.11,6434.63,6484.12,6431.44,7206417200,84092921492
2017/3/3,6417.39,6452.84,6457.23,6398.88,6525325300,78891589125
2017/3/6,6457.59,6517.32,6518.04,6457.59,6727767200,83853156141
2017/3/7,6517.85,6523.19,6523.36,6491.26,6853491500,82330583705
2017/3/8,6519.97,6497.09,6525.19,6478.55,6306736900,75049470141
2017/3/9,6484.58,6439.38,6484.83,6425,6423898200,73949329067
2017/3/10,6436.76,6447.92,6464.6,6436.64,5635992900,69999414897
2017/3/13,6444.56,6507.9,6508.07,6412.71,6491243000,81201111069
2017/3/14,6508.37,6493.48,6518.78,6480.08,6027199500,74548113277
2017/3/15,6486.3,6486.06,6499.54,6471.72,5575008500,69104007281
2017/3/16,6499.83,6543.34,6543.34,6499.83,6865461900,84809251031
2017/3/17,6543.56,6483.25,6555.58,6480.29,7306370600,89911150469
2017/3/20,6484.54,6498.34,6498.57,6451.35,6164478300,76363964979
2017/3/21,6494.77,6515.95,6516.01,6484.69,5899504200,75784024757
2017/3/22,6486.3,6499.79,6514.63,6459.98,7227336600,88332148328
2017/3/23,6502.13,6512.19,6533.65,6445.81,7691114700,95665083643
2017/3/24,6509.23,6546.61,6552.75,6500.07,8354782200,99764242487
2017/3/27,6545.45,6516.03,6555.79,6510.44,7748273700,91609824450
2017/3/28,6509.04,6498.69,6519.09,6483.64,6126211400,74546542337
2017/3/29,6504.25,6480.54,6522.51,6461.54,8561404800,94145712453
2017/3/30,6467.06,6375.74,6471.94,6369.12,9651272400,1.03E+11
2017/3/31,6374.56,6401.65,6402.22,6365.45,7208277200,81869918412
2017/4/5,6450.9,6539.97,6539.97,6450.9,9701497800,1.10E+11
2017/4/6,6554.75,6559.65,6569.7,6535.04,9747113500,1.07E+11
2017/4/7,6554.26,6578.73,6593.95,6544.24,10059667100,1.15E+11
2017/4/10,6575.46,6566.54,6595.2,6556.08,10252932300,1.18E+11
2017/4/11,6566.84,6629.17,6632,6531.53,12773804800,1.48E+11
2017/4/12,6625.88,6576.48,6626.76,6571.48,11417302700,1.26E+11
2017/4/13,6569.24,6615.7,6627.7,6562.76,8771144000,95722060561
2017/4/14,6623.45,6528.16,6623.8,6522.79,9751115100,1.08E+11
2017/4/17,6500.95,6456.6,6502.04,6426.28,8753220700,99323748147
2017/4/18,6452.92,6418.21,6491.81,6416.17,8018564100,91417770877
2017/4/19,6390.33,6350.65,6401.41,6285.99,8700044700,95577254209
2017/4/20,6349.41,6347.77,6377.8,6299.89,7917415700,92055492681
2017/4/21,6345.77,6300.71,6364.67,6296.81,6087110100,72187532636
2017/4/24,6282.33,6138.5,6282.74,6137.92,7077136800,78586553277
2017/4/25,6139.48,6160.46,6203.68,6131.95,6465772900,73714024619
2017/4/26,6159.89,6176.4,6195.32,6157.4,6974602900,81432873560
2017/4/27,6157.52,6192.3,6205.23,6052.88,8935778900,1.02E+11
2017/4/28,6174.14,6211.86,6214.16,6166.8,6676916700,76705995604
2017/5/2,6205.1,6216.11,6216.49,6186.17,7028900300,83553106435
2017/5/3,6205.68,6197.48,6225.63,6174.69,7247544700,85574278198
2017/5/4,6180.03,6176.31,6236.89,6151.81,7741351300,89915586361
2017/5/5,6155.2,6089.68,6164.25,6089.09,7155199600,81292488330
2017/5/8,6076.46,5975.54,6083.36,5975.22,6718255500,76311198234
2017/5/9,5953.84,6012,6012.44,5919.6,5472699300,62722952719
2017/5/10,6010.73,5885.84,6038.97,5885.52,6264566000,71467192554
2017/5/11,5856.41,5872.64,5873.91,5731.48,7305431400,77588395749
2017/5/12,5859.34,5863.78,5889.93,5820.29,5668562800,62606811862
2017/5/15,5880.7,5893.51,5912.27,5880.7,4972593300,58911836309
2017/5/16,5882.33,6014.73,6014.88,5839.22,7342661600,84036099309
2017/5/17,6006.47,6027.65,6055.92,6001.04,7314690900,84588690909
2017/5/18,5983.35,5976.3,6030.11,5965.35,6006212500,70971740790
2017/5/19,5973.77,5974.98,5990.44,5942.61,5506815200,64668962901
2017/5/22,5962.29,5888.81,5987.31,5873.04,6089413900,66101128000
2017/5/23,5879.56,5764.88,5893.82,5760.32,6491864700,70779450169
2017/5/24,5740.44,5799.25,5799.68,5668.72,5813084700,62845340538
2017/5/25,5788.56,5850.8,5859.5,5740.8,7068395700,75351887954
2017/5/26,5843.52,5836.93,5871.21,5833.09,5925619900,65692499036
2017/5/31,5887.94,5824.1,5913.18,5820.21,5847776900,66221305694
2017/6/1,5810.42,5710,5810.6,5709.69,6027890500,65490263888
2017/6/2,5696.83,5772.52,5780.5,5655.76,5886884700,61562500697
2017/6/5,5778.19,5815.8,5830.05,5777.95,5433329200,59775835963
2017/6/6,5808.97,5841.52,5841.88,5793.44,4878150000,53237820722
2017/6/7,5838.88,5955.02,5955.02,5836.44,7466605900,81742004615
2017/6/8,5947.98,5958.98,5972.73,5940.72,6650654700,74753009505
2017/6/9,5952.41,5969.27,5971.53,5922.73,6210987400,69574732886
2017/6/12,5943.64,5902.86,5950.04,5896.4,6035967500,70214585117
2017/6/13,5895.47,5980.06,5986.87,5894.23,6042416900,70753185224
2017/6/14,5976.01,5966.43,5992.78,5958.2,6092696300,71476434180
2017/6/15,5959.47,6021.17,6024.38,5959.19,6499111000,73277153514
2017/6/16,6016.97,6013,6027.4,6003.26,5691259600,66287703874
2017/6/19,6010.94,6057.41,6057.41,6009.22,5923158500,67315215224
2017/6/20,6061.11,6066.9,6089.81,6058.69,6612240800,77790508880
2017/6/21,6074.61,6078.19,6080.53,6035.27,5673042900,66856678681
2017/6/22,6074.37,5992.34,6094.55,5992.34,6922564100,82350322636
2017/6/23,5978.24,6010.31,6010.31,5923.55,6350512400,73951244991
2017/6/26,6013.48,6111.64,6111.71,6011.86,6984617800,86328092268
2017/6/27,6109.37,6113.17,6128.38,6089.68,6231684900,75563273773
2017/6/28,6102.23,6086.21,6110.35,6075.14,6047948200,71450336215
2017/6/29,6089.92,6116.99,6132.25,6089.92,5803528900,70846315032
2017/6/30,6101.36,6138.16,6139.07,6090.25,5352122300,66361720180
2017/7/3,6142.17,6177.4,6177.4,6129.84,6382532200,74248241220
2017/7/4,6169.03,6146.85,6170.85,6134.88,6311419600,76708822695
2017/7/5,6135.71,6193.96,6193.96,6127.51,6862163800,83041215553
