Date,open,close,high,low,volume,money
2017/1/3,3313.95,3342.23,3345.26,3313.95,8656789600,87612765768
2017/1/4,3340.56,3368.31,3369.57,3338.15,9005082700,98014355468
2017/1/5,3368.34,3367.79,3373.41,3361.46,8833635700,91189339582
2017/1/6,3366.85,3347.67,3368.87,3346.89,8745911400,91072256748
2017/1/9,3345.75,3363.9,3366.22,3344.35,8370794200,87916115243
2017/1/10,3361.64,3358.27,3370.51,3354.09,8381916000,82533965080
2017/1/11,3355.8,3334.5,3366.63,3334.3,9107143800,86750457122
2017/1/12,3332.69,3317.62,3343.13,3315.96,8123913500,75031886874
2017/1/13,3317.96,3319.91,3338.17,3309.37,8418058900,84556101403
2017/1/16,3314.15,3319.45,3322.78,3264.21,15777913500,1.53E+11
2017/1/17,3305.6,3326.36,3327.38,3292.2,6945332800,74754505696
2017/1/18,3323.34,3339.37,3350.96,3320.41,7062322700,75680677264
2017/1/19,3330.95,3329.29,3346.5,3324.68,6615980800,63869709163
2017/1/20,3326.98,3354.89,3358.41,3326.37,6530046200,70831324310
2017/1/23,3359.05,3364.08,3378.74,3355.85,7555749800,76492660154
2017/1/24,3363.14,3364.45,3371.32,3355.9,6619422600,66049651289
2017/1/25,3361.66,3375.9,3376.44,3357.22,5837693100,62483395802
2017/1/26,3378.26,3387.96,3395.88,3378.26,6531664700,66488818305
2017/2/3,3390.93,3364.49,3392.48,3362.57,5518886100,57113853255
2017/2/6,3368.11,3373.21,3381.33,3358.75,6852136000,73408134768
2017/2/7,3371.77,3365.68,3376.71,3354.63,6375446200,69758178999
2017/2/8,3361.78,3383.29,3383.69,3347.43,7540287900,82869735773
2017/2/9,3381.9,3396.29,3406.59,3379.79,9755851500,1.02E+11
2017/2/10,3398.32,3413.49,3422.33,3398.03,12376872000,1.22E+11
2017/2/13,3416.92,3436.28,3439.54,3416.87,12014453800,1.25E+11
2017/2/14,3438.51,3435.8,3440.67,3424.4,9480946500,98537165438
2017/2/15,3435.39,3421.71,3448.03,3417.08,12764333800,1.25E+11
2017/2/16,3421.83,3440.93,3440.93,3418.35,10827696200,1.02E+11
2017/2/17,3443.62,3421.44,3457.56,3419.61,11460003600,1.18E+11
2017/2/20,3421.64,3471.39,3472.6,3421.64,13262886200,1.35E+11
2017/2/21,3475.06,3482.82,3490.09,3472.02,11484200900,1.21E+11
2017/2/22,3483.2,3489.76,3489.95,3473.52,10281599400,1.09E+11
2017/2/23,3487.57,3473.32,3492.96,3460.12,9953633000,1.07E+11
2017/2/24,3468.96,3473.85,3473.85,3455.25,9553513300,99875164759
2017/2/27,3471.13,3446.22,3472.84,3441.39,9867216000,1.07E+11
2017/2/28,3445.03,3452.81,3460.91,3441.36,7521526000,81979307361
2017/3/1,3452.21,3458.44,3472.7,3449.11,10326035400,1.09E+11
2017/3/2,3463.48,3435.1,3468.47,3434,8989807700,97876187925
2017/3/3,3424.66,3427.86,3428.88,3412.83,8099465200,90009618835
2017/3/6,3427.25,3446.48,3449.03,3425.9,8307088200,95178548496
2017/3/7,3446.16,3453.96,3454.04,3440.06,8033472000,94483824245
2017/3/8,3452.2,3448.73,3457.04,3441.26,7958769000,89124904682
2017/3/9,3442.9,3426.94,3443.05,3414.68,8457038100,90090049490
2017/3/10,3423.98,3427.89,3436.24,3423.94,7001619900,82161714923
2017/3/13,3425.67,3458.1,3458.1,3412.69,9168412400,1.08E+11
2017/3/14,3456.66,3456.69,3465.39,3448.9,7707796300,95317564129
2017/3/15,3452.21,3463.64,3463.92,3445.27,7910495400,94056256667
2017/3/16,3472.27,3481.51,3492.13,3472.27,10633391300,1.25E+11
2017/3/17,3485.31,3445.81,3488.5,3441.47,10375556000,1.22E+11
2017/3/20,3449.05,3449.61,3454.06,3429.83,8873432200,1.04E+11
2017/3/21,3449.77,3466.35,3466.7,3445.64,8770785500,1.14E+11
2017/3/22,3450.75,3450.05,3464.33,3433.5,10493589400,1.24E+11
2017/3/23,3452.41,3461.98,3470.82,3435.69,9431806200,1.16E+11
2017/3/24,3464.2,3489.6,3499.32,3461.11,12564583300,1.42E+11
2017/3/27,3488.76,3478.04,3505.98,3474.52,10701537700,1.24E+11
2017/3/28,3480.25,3469.81,3482.29,3461.47,8419482000,97495938765
2017/3/29,3472.97,3465.19,3483.06,3455.55,10485170600,1.15E+11
2017/3/30,3461.62,3436.76,3467.3,3422.37,11637692200,1.22E+11
2017/3/31,3434.82,3456.05,3456.31,3430.82,9157749100,1.01E+11
2017/4/5,3476.42,3503.89,3504.54,3475.15,14339901700,1.61E+11
2017/4/6,3507.99,3514.05,3517.78,3495.72,13676700400,1.45E+11
2017/4/7,3514.45,3517.46,3526.82,3506.39,14029320400,1.45E+11
2017/4/10,3519.46,3505.14,3522.8,3502.08,14188738000,1.56E+11
2017/4/11,3503.83,3517.33,3520.13,3466.14,16594583200,1.89E+11
2017/4/12,3514.57,3509.44,3523.1,3498,18182453700,2.02E+11
2017/4/13,3500.28,3514.57,3518.44,3496.57,12998181300,1.33E+11
2017/4/14,3516.81,3486.5,3517.47,3476.95,13547407800,1.30E+11
2017/4/17,3475.74,3479.94,3480.57,3453.68,11716496100,1.24E+11
2017/4/18,3474.89,3462.74,3489.08,3462.63,11092782300,1.27E+11
2017/4/19,3452.99,3445.88,3459.35,3418.51,12134926400,1.27E+11
2017/4/20,3444.52,3461.55,3465.61,3440.72,11418420800,1.34E+11
2017/4/21,3461.39,3466.79,3475.56,3449.54,10441911000,1.15E+11
2017/4/24,3458.23,3431.26,3458.23,3403.98,11466079100,1.23E+11
2017/4/25,3427.73,3440.97,3449.67,3422.65,9407214800,1.08E+11
2017/4/26,3440.25,3445.18,3466.57,3439.15,11194002900,1.31E+11
2017/4/27,3435.1,3446.72,3449.27,3399.54,12329842500,1.35E+11
2017/4/28,3439.57,3439.75,3439.9,3417.24,10163235100,1.14E+11
2017/5/2,3427.92,3426.58,3436.31,3418.67,9279746200,1.02E+11
2017/5/3,3421.76,3413.13,3432.22,3403.08,9166962400,97854119098
2017/5/4,3404.94,3404.39,3421.4,3391.28,10348207500,1.07E+11
2017/5/5,3393.48,3382.55,3395.45,3366.56,10989533300,1.17E+11
2017/5/8,3369.11,3358.81,3374.16,3339.57,12374928700,1.27E+11
2017/5/9,3342.6,3352.53,3358.05,3327.59,7677166800,85528831749
2017/5/10,3350.65,3337.7,3369.43,3336,9208262800,1.02E+11
2017/5/11,3322.95,3356.65,3359.6,3312.89,10925289000,1.12E+11
2017/5/12,3350.94,3385.38,3387.27,3349.17,9338646600,97522124594
2017/5/15,3391.59,3399.19,3406.58,3391.59,8297761100,92183332845
2017/5/16,3390.93,3428.65,3428.85,3373.55,10524241600,1.13E+11
2017/5/17,3423.19,3409.97,3433.97,3408.15,9973683700,1.11E+11
2017/5/18,3387.67,3398.11,3409.93,3383.93,8575958900,88091166041
2017/5/19,3395.23,3403.85,3405.94,3392.38,7147352500,78397081602
2017/5/22,3400.59,3411.24,3424.18,3391.17,9253955900,99021121578
2017/5/23,3405.03,3424.19,3434.77,3401.53,11691103300,1.27E+11
2017/5/24,3409.72,3424.17,3424.17,3383.89,8355316100,92620045548
2017/5/25,3414.4,3485.66,3490.42,3413.22,13072163100,1.37E+11
2017/5/26,3479.62,3480.43,3498.31,3473.04,10324115300,1.13E+11
2017/5/31,3495.07,3492.88,3515.08,3474.92,10482974400,1.16E+11
2017/6/1,3485.22,3497.74,3499.81,3476.43,10312772400,1.16E+11
2017/6/2,3491.59,3486.51,3498.12,3470.2,8266801000,92850747181
2017/6/5,3480.17,3468.75,3484.12,3462.31,7973815200,85609467477
2017/6/6,3464.38,3492.88,3492.88,3460.45,6408938800,77868793730
2017/6/7,3493.88,3533.87,3537.09,3491.13,10441996800,1.24E+11
2017/6/8,3531.24,3560.98,3562.27,3528.18,9022490500,1.12E+11
2017/6/9,3561.24,3576.17,3590.89,3560.63,10118826500,1.22E+11
2017/6/12,3570.22,3574.39,3603.69,3565.9,9038116700,1.18E+11
2017/6/13,3569.16,3582.27,3584.41,3559.21,7517713800,94223084812
2017/6/14,3571.25,3535.3,3571.25,3530.27,8381078300,1.06E+11
2017/6/15,3530.75,3528.79,3542.28,3508.95,8263253500,1.06E+11
2017/6/16,3522.97,3518.76,3536.14,3514.39,7645270700,91462286377
2017/6/19,3520.06,3553.67,3554.91,3520.06,7979714100,98572358252
2017/6/20,3560.79,3546.49,3563.7,3539.51,8050955900,98187595478
